ADDRESSBLOCK,ADDRESSROAD,ADDRESSSTREET,X,Y
701A,FAMILYLAND,YISHUN AVENUE 5,27399.2647,45742.678
496,,JURONG WEST STREET 41,15815.8613,36900.7813
497A,,JURONG WEST STREET 41,15908.0295,36836.7101
988,,JURONG WEST STREET 93,12662.3657,35371.0128
409A,,ANG MO KIO AVENUE 10,30464.602,38279.9835
498A,,JURONG WEST STREET 41,15902.4271,36814.0538
987,,JURONG WEST STREET 93,12593.1326,35453.4214
495A,,JURONG WEST STREET 41,15902.5787,36847.087
366A,,CLEMENTI AVENUE 2,21158.0312,32788.2365
47,,TANGLIN HALT ROAD,24077.9356,31460.6007
66,,YUNG KUANG ROAD,15713.5761,34918.1477
624B,,JURONG WEST STREET 61,12989.5482,35876.8054
70A,,GEYLANG BAHRU,32101.79,33796.4332
64,,YUNG KUANG ROAD,15661.6124,34952.8827
809,KITCHENER COMPLEX,FRENCH ROAD,31192.6283,32293.6896
811,HDB-KALLANG/WHAMPOA,FRENCH ROAD,31113.0492,32230.3431
981,,BUANGKOK CRESCENT,33073.9128,40254.235
22A,BENDEMEER VILLE,BOON KENG ROAD,31182.9041,33464.7207
24,,DAKOTA CRESCENT,33804.5208,32086.6206
125,,EDGEDALE PLAINS,36686.1116,41759.0116
16,,DAKOTA CRESCENT,33739.301,32055.3103
663E,,JURONG WEST STREET 64,13469.3926,35588.4123
6,BEACH ROAD GARDENS,BEACH ROAD,31461.2213,31814.385
32A,EUNOS COURT,EUNOS CRESCENT,35543.8389,33619.2339
206A,BOON LAY GARDENS,BOON LAY DRIVE,14889.9292,36384.4092
70,,GEYLANG BAHRU,32117.7317,33792.9388
210A,BOON LAY PLACE,BOON LAY PLACE,14637.029,36706.8956
304B,,WOODLANDS STREET 31,21436.7766,45731.241
12,,DAKOTA CRESCENT,33721.5744,32011.5803
531A,HONG LIM COMPLEX,UPPER CROSS STREET,29386.4892,29750.0987
302,,CHOA CHU KANG AVENUE 4,17986.4683,40773.7972
34B,,MARSILING DRIVE,21139.8465,47347.9693
466A,SEGAR GARDENS,SEGAR ROAD,21340.6924,41015.9452
209A,BOON LAY PLACE,BOON LAY PLACE,14875.7622,36465.9182
26,,DAKOTA CRESCENT,33828.5535,32068.5743
656,,JURONG WEST STREET 61,13198.2292,35347.3453
135,JURONG GATEWAY,JURONG GATEWAY ROAD,17544.6563,35105.3943
304A,,WOODLANDS STREET 31,21361.8525,45812.7876
13,,OLD AIRPORT ROAD,33586.5914,32150.1386
35,HDB-BUKIT MERAH,TELOK BLANGAH RISE,26754.0475,28389.8313
664E,,JURONG WEST STREET 64,13445.5338,35684.2574
207A,BOON LAY PLACE,BOON LAY PLACE,14682.8205,36575.6503
45A,SIMS VISTA,SIMS DRIVE,32993.2105,33267.1502
985,,BUANGKOK CRESCENT,33199.455,40384.6426
129,,EDGEDALE PLAINS,36576.1704,41674.5194
151A,,MEI LING STREET,24627.6848,30804.5174
14A,MARINE TERRACE BREEZE,MARINE TERRACE,37097.6821,31736.6991
35A,,CHAI CHEE AVENUE,38393.7243,34086.5968
93A,,WHAMPOA DRIVE,30330.6026,33753.3252
163,,BUKIT MERAH CENTRAL,26177.1495,29590.5872
201E,HDB-TAMPINES,TAMPINES STREET 23,41414.7187,37225.0469
23A,,SIN MING ROAD,28306.0804,37430.2368
1A,BALESTIER HILL SHOPPING CENTRE,THOMSON ROAD,29081.2681,34219.3048
120A,,BUKIT MERAH LANE 1,24795.4376,29903.5363
353A,,CLEMENTI AVENUE 2,21017.7059,32995.053
213B,PUNGGOL WAVES,PUNGGOL WALK,35252.1096,42510.0746
213A,PUNGGOL WAVES,PUNGGOL WALK,35206.5307,42464.6695
22C,,HAVELOCK ROAD,27437.9654,30132.7978
428,FLORAL SPRING @ YISHUN,YISHUN AVENUE 11,29533.5555,44905.1275
428B,FLORAL SPRING @ YISHUN,YISHUN AVENUE 11,29548.5158,44871.6972
490D,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,17767.0585,39779.9741
490,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,17747.5846,39690.0201
488C,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,17609.1891,39842.7961
488D,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,17670.9643,39823.4916
376B,HOUGANG DEWCOURT,HOUGANG STREET 32,34763.2226,38463.4323
504C,ACACIA BREEZE @ YISHUN,YISHUN STREET 51,29129.1342,44416.8215
504B,ACACIA BREEZE @ YISHUN,YISHUN STREET 51,29169.4561,44391.46
504A,ACACIA BREEZE @ YISHUN,YISHUN STREET 51,29198.239,44428.3715
477C,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,35887.2176,40144.1079
476C,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,35904.4718,39992.2958
477A,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,35848.3729,40032.0112
477B,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,35891.5131,40087.664
