X,Y,description,ADDRESSBUILDINGNAME,ADDRESSSTREETNAME
103.8760677,1.391393058,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ SELETAR MALL,"33 SENGKANG WEST AVE, SELETAR MALL, #03-25"
103.839759,1.301978366,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ THE CENTREPOINT,"176 ORCHARD ROAD, THE CENTREPOINT, #03-31"
103.8717045,1.350438172,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",CHALLENGER @ NEX MALL,"23 SERANGOON CENTRAL, NEX MALL, #03-33/34"
103.7525271,1.381116676,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TECK WHYE LANE,146 TECK WHYE AVENUE
103.8497961,1.331994558,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",COURTS @ 460 TOA PAYOH LORONG 6,460 TOA PAYOH LORONG 6
103.7892112,1.312009409,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",ULU PANDAN CC,170 GHIM MOH ROAD
103.7648321,1.30264556,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WEST COAST CC,2 CLEMENTI WEST STREET 2
103.7370659,1.339972853,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",YUHUA CC,90 BOON LAY WAY
103.7989319,1.274941015,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",MAPLETREE BUSINESS CITY,"10 PASIR PANJANG ROAD, CLUNY COURT"
103.9492944,1.34068474,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",CHANGI GENERAL HOSPITAL,"2 SIMEI STREET 3, ADMIRALTY PLACE"
103.8635979,1.302795218,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",KAMPONG GLAM CC,"385 BEACH ROAD, KAMPONG GLAM CC"
103.808062,1.318832251,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",FARRER GARDENS RC,"4 QUEEN’S ROAD, FARRER GARDENS RC"
103.8877274,1.353138716,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PAYA LEBAR ZONE 5 RC,"116 HOUGANG AVENUE 1, PAYA LEBAR ZONE 5 RC, #01-1206"
103.6966388,1.336891367,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PIONEER ZONE 12 RN,"653A JURONG WEST ST 61, PIONEER ZONE 12 RN, #01-422"
103.7393031,1.35572308,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  BUKIT BATOK WEST,"BLK 440 BUKIT BATOK WEST AVE 8, #01-10"
103.7553752,1.344498104,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  292 BUKIT BATOK EAST AVENUE,"BLK 292 BUKIT BATOK EAST AVENUE 6, #01-02"
103.7751648,1.443151202,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  MARSILING DRIVE 202,"BLK 202 MARSILING DRIVE, #01-138"
103.7600416,1.380605125,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  JUNCTION TEN,"NO.1 WOODLANDS ROADS, #01-07"
103.8360537,1.351844984,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  200 UPPER THOMSON,"200 UPP THOMSON RD, #B1-01"
