X,Y,description,ADDRESSUNITNUMBER,ADDRESSSTREETNAME,ADDRESSBUILDINGNAME,ADDRESSBLOCKNUMBER
103.8801654,1.35221025,"Exchange your recyclables for cash. 
Every Wednesday from 5.30pm to 9.30pm.",#01-200,Hougang Street 11,,154
103.8863299,1.350852995,"Exchange your recyclables for cash. 
Every Wednesday from 5.30pm to 9.30pm.",#01-412,Lorong Ah Soo,,132
103.8097586,1.295319664,"Exchange your recyclables for cash. 
3rd Sunday of the month from 9am to 1pm.",,Dawson Road,Dawson RC,85
103.8386822,1.276672518,"Exchange your recyclables for cash. 
1st Sunday of the month from 9am to 12pm.",#01-04,Everton Park,Everton Park RC,6
103.8538725,1.328579104,"Exchange your recyclables for cash. 
Last Saturday of odd months from 2pm to 4pm.",,Jalan Rajah,Whampoa Rajah Court RC,105
103.7315798,1.345312523,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong East Avenue 1,Yuhua Food Centre,347
103.7428811,1.337564399,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong East Street 21,,205
103.7396765,1.343165844,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong East Street 24,,251
103.7263578,1.348208879,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 41,,484/486
103.7044481,1.352663864,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Avenue 3,,274D
103.7056661,1.343622209,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Central 1,Pioneer Zone 2,682B
103.7200224,1.350675726,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 51,,456
103.698797,1.341520112,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 61,Pioneer Zone 10,625
103.6966483,1.340129823,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 61,Pioneer Zone 11,640
103.6970349,1.336402067,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 61,Pioneer Zone 12,652
103.7040163,1.337480823,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 64,Pioneer Zone 7,662C
103.7007574,1.336489672,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 65,Pioneer Zone 8,658B
103.6991919,1.347937106,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 73,,750
103.6908741,1.342349429,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 91,,953
103.695529,1.337174011,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Jurong West Street 93,Pioneer Zone 3,986B/c
103.8424634,1.28074834,"Exchange your recyclables for cash. 
2nd Sunday of the month from 9am to 12pm.",,Kreta Ayer Road,Kreta Ayer RC,333
103.9582101,1.344699448,"Exchange your recyclables for cash. 
3rd Saturday of the month from 2pm to 5pm.",#01-202,Simei Road,Changi Simei Zone 3 RC,155
103.8348788,1.274427553,"Exchange your recyclables for cash. 
2nd Sunday of the month from 10am to 12.30pm.",,Spottiswoode Park Road,Spottiswoode Park RC Centre,104
103.8117356,1.294351677,"Exchange your recyclables for cash. 
2nd Sunday of the month from 9am to 1pm.",,Strathmore Avenue,"Delta RC, MPH",62
103.9527049,1.363008284,"Exchange your recyclables for cash. 
Last Saturday of the month from 9am to 12pm.",,Tampines Street 41,Tampines North Zone 6 RC Centre,494B
103.9457017,1.356397706,"Exchange your recyclables for cash. 
Every first Sunday of the month from 12pm to 3pm.",,Tampines Central 1,Tampines East Zone 3 RC (Multi-purpose hall),504
